[2026-05-27 09:43:01] center-shift MMMD config: {"B_boot": 500, "alpha": 0.05, "checkpoint_path": "/home/dechao/kernel_two-sample/dechao_reproduction/pathmnist_center_shift_mmmd/shared_model/models/pathmnist_cnn_checkpoint.pt", "dataset": "PathMNIST-28", "inner_repetitions": 500, "labels": [6, 8], "methods": ["raw_pixel_gaussian5", "cnn_final_fc128_gaussian5", "cnn_multilayer_single_gaussian", "cnn_multilayer_gaussian15"], "n_grid": [20, 30, 50, 80, 100], "n_tests_per_cell_actual": 5000, "outer_repetitions": 10, "seed": 20260527, "settings": ["H1_source_vs_external"], "split_path": "/home/dechao/kernel_two-sample/dechao_reproduction/pathmnist_center_shift_mmmd/configs/center_shift_split_seed2026_holdout20.npz"}
[2026-05-27 09:43:04] extracting frozen CNN embeddings for source_holdout_pool
[2026-05-27 09:44:02] progress label=6 setting=H1_source_vs_external n=30 outer_iter=1/10 inner_iter=400/500
[2026-05-27 09:44:03] progress label=6 setting=H1_source_vs_external n=30 outer_iter=1/10 inner_iter=450/500
[2026-05-27 09:44:04] progress label=6 setting=H1_source_vs_external n=30 outer_iter=1/10 inner_iter=500/500
[2026-05-27 09:44:04] finished label=6 setting=H1_source_vs_external n=30 outer_iter=1/10 inner_repetitions=500 in 6.53s
[2026-05-27 09:44:04] progress label=6 setting=H1_source_vs_external n=30 outer_iter=2/10 inner_iter=1/500
[2026-05-27 09:44:05] progress label=6 setting=H1_source_vs_external n=30 outer_iter=2/10 inner_iter=50/500
[2026-05-27 09:44:06] progress label=6 setting=H1_source_vs_external n=30 outer_iter=2/10 inner_iter=100/500
[2026-05-27 09:44:06] progress label=6 setting=H1_source_vs_external n=30 outer_iter=2/10 inner_iter=150/500
[2026-05-27 09:44:07] progress label=6 setting=H1_source_vs_external n=30 outer_iter=2/10 inner_iter=200/500
[2026-05-27 09:44:07] progress label=6 setting=H1_source_vs_external n=30 outer_iter=2/10 inner_iter=250/500
[2026-05-27 09:44:08] progress label=6 setting=H1_source_vs_external n=30 outer_iter=2/10 inner_iter=300/500
[2026-05-27 09:44:08] progress label=6 setting=H1_source_vs_external n=30 outer_iter=2/10 inner_iter=350/500
[2026-05-27 09:44:09] progress label=6 setting=H1_source_vs_external n=30 outer_iter=2/10 inner_iter=400/500
[2026-05-27 09:44:10] progress label=6 setting=H1_source_vs_external n=30 outer_iter=2/10 inner_iter=450/500
[2026-05-27 09:44:10] progress label=6 setting=H1_source_vs_external n=30 outer_iter=2/10 inner_iter=500/500
[2026-05-27 09:44:11] finished label=6 setting=H1_source_vs_external n=30 outer_iter=2/10 inner_repetitions=500 in 6.66s
[2026-05-27 09:44:11] progress label=6 setting=H1_source_vs_external n=30 outer_iter=3/10 inner_iter=1/500
[2026-05-27 09:44:12] progress label=6 setting=H1_source_vs_external n=30 outer_iter=3/10 inner_iter=50/500
[2026-05-27 09:44:12] progress label=6 setting=H1_source_vs_external n=30 outer_iter=3/10 inner_iter=100/500
[2026-05-27 09:44:13] progress label=6 setting=H1_source_vs_external n=30 outer_iter=3/10 inner_iter=150/500
[2026-05-27 09:44:13] progress label=6 setting=H1_source_vs_external n=30 outer_iter=3/10 inner_iter=200/500
[2026-05-27 09:44:14] progress label=6 setting=H1_source_vs_external n=30 outer_iter=3/10 inner_iter=250/500
[2026-05-27 09:44:15] progress label=6 setting=H1_source_vs_external n=30 outer_iter=3/10 inner_iter=300/500
[2026-05-27 09:44:15] progress label=6 setting=H1_source_vs_external n=30 outer_iter=3/10 inner_iter=350/500
[2026-05-27 09:44:16] progress label=6 setting=H1_source_vs_external n=30 outer_iter=3/10 inner_iter=400/500
[2026-05-27 09:44:16] progress label=6 setting=H1_source_vs_external n=30 outer_iter=3/10 inner_iter=450/500
[2026-05-27 09:44:17] progress label=6 setting=H1_source_vs_external n=30 outer_iter=3/10 inner_iter=500/500
[2026-05-27 09:44:18] finished label=6 setting=H1_source_vs_external n=30 outer_iter=3/10 inner_repetitions=500 in 6.64s
[2026-05-27 09:44:18] progress label=6 setting=H1_source_vs_external n=30 outer_iter=4/10 inner_iter=1/500
[2026-05-27 09:44:18] progress label=6 setting=H1_source_vs_external n=30 outer_iter=4/10 inner_iter=50/500
[2026-05-27 09:44:19] progress label=6 setting=H1_source_vs_external n=30 outer_iter=4/10 inner_iter=100/500
[2026-05-27 09:44:19] progress label=6 setting=H1_source_vs_external n=30 outer_iter=4/10 inner_iter=150/500
[2026-05-27 09:44:20] progress label=6 setting=H1_source_vs_external n=30 outer_iter=4/10 inner_iter=200/500
[2026-05-27 09:44:21] progress label=6 setting=H1_source_vs_external n=30 outer_iter=4/10 inner_iter=250/500
[2026-05-27 09:44:21] progress label=6 setting=H1_source_vs_external n=30 outer_iter=4/10 inner_iter=300/500
[2026-05-27 09:44:22] progress label=6 setting=H1_source_vs_external n=30 outer_iter=4/10 inner_iter=350/500
[2026-05-27 09:44:22] progress label=6 setting=H1_source_vs_external n=30 outer_iter=4/10 inner_iter=400/500
[2026-05-27 09:44:23] progress label=6 setting=H1_source_vs_external n=30 outer_iter=4/10 inner_iter=450/500
[2026-05-27 09:44:23] progress label=6 setting=H1_source_vs_external n=30 outer_iter=4/10 inner_iter=500/500
[2026-05-27 09:44:24] finished label=6 setting=H1_source_vs_external n=30 outer_iter=4/10 inner_repetitions=500 in 6.64s
[2026-05-27 09:44:24] progress label=6 setting=H1_source_vs_external n=30 outer_iter=5/10 inner_iter=1/500
[2026-05-27 09:44:25] progress label=6 setting=H1_source_vs_external n=30 outer_iter=5/10 inner_iter=50/500
[2026-05-27 09:44:25] progress label=6 setting=H1_source_vs_external n=30 outer_iter=5/10 inner_iter=100/500
[2026-05-27 09:44:26] progress label=6 setting=H1_source_vs_external n=30 outer_iter=5/10 inner_iter=150/500
[2026-05-27 09:44:27] progress label=6 setting=H1_source_vs_external n=30 outer_iter=5/10 inner_iter=200/500
[2026-05-27 09:44:27] progress label=6 setting=H1_source_vs_external n=30 outer_iter=5/10 inner_iter=250/500
[2026-05-27 09:44:28] progress label=6 setting=H1_source_vs_external n=30 outer_iter=5/10 inner_iter=300/500
[2026-05-27 09:44:28] progress label=6 setting=H1_source_vs_external n=30 outer_iter=5/10 inner_iter=350/500
[2026-05-27 09:44:29] progress label=6 setting=H1_source_vs_external n=30 outer_iter=5/10 inner_iter=400/500
[2026-05-27 09:44:30] progress label=6 setting=H1_source_vs_external n=30 outer_iter=5/10 inner_iter=450/500
[2026-05-27 09:44:30] progress label=6 setting=H1_source_vs_external n=30 outer_iter=5/10 inner_iter=500/500
[2026-05-27 09:44:31] finished label=6 setting=H1_source_vs_external n=30 outer_iter=5/10 inner_repetitions=500 in 6.69s
[2026-05-27 09:44:31] progress label=6 setting=H1_source_vs_external n=30 outer_iter=6/10 inner_iter=1/500
[2026-05-27 09:44:32] progress label=6 setting=H1_source_vs_external n=30 outer_iter=6/10 inner_iter=50/500
[2026-05-27 09:44:32] progress label=6 setting=H1_source_vs_external n=30 outer_iter=6/10 inner_iter=100/500
[2026-05-27 09:44:33] progress label=6 setting=H1_source_vs_external n=30 outer_iter=6/10 inner_iter=150/500
[2026-05-27 09:44:33] progress label=6 setting=H1_source_vs_external n=30 outer_iter=6/10 inner_iter=200/500
[2026-05-27 09:44:34] progress label=6 setting=H1_source_vs_external n=30 outer_iter=6/10 inner_iter=250/500
[2026-05-27 09:44:34] progress label=6 setting=H1_source_vs_external n=30 outer_iter=6/10 inner_iter=300/500
[2026-05-27 09:44:35] progress label=6 setting=H1_source_vs_external n=30 outer_iter=6/10 inner_iter=350/500
[2026-05-27 09:44:36] progress label=6 setting=H1_source_vs_external n=30 outer_iter=6/10 inner_iter=400/500
[2026-05-27 09:44:36] progress label=6 setting=H1_source_vs_external n=30 outer_iter=6/10 inner_iter=450/500
[2026-05-27 09:44:37] progress label=6 setting=H1_source_vs_external n=30 outer_iter=6/10 inner_iter=500/500
[2026-05-27 09:44:38] finished label=6 setting=H1_source_vs_external n=30 outer_iter=6/10 inner_repetitions=500 in 6.77s
[2026-05-27 09:44:38] progress label=6 setting=H1_source_vs_external n=30 outer_iter=7/10 inner_iter=1/500
[2026-05-27 09:44:38] progress label=6 setting=H1_source_vs_external n=30 outer_iter=7/10 inner_iter=50/500
[2026-05-27 09:44:39] progress label=6 setting=H1_source_vs_external n=30 outer_iter=7/10 inner_iter=100/500
[2026-05-27 09:44:40] progress label=6 setting=H1_source_vs_external n=30 outer_iter=7/10 inner_iter=150/500
[2026-05-27 09:44:40] progress label=6 setting=H1_source_vs_external n=30 outer_iter=7/10 inner_iter=200/500
[2026-05-27 09:44:41] progress label=6 setting=H1_source_vs_external n=30 outer_iter=7/10 inner_iter=250/500
[2026-05-27 09:44:41] progress label=6 setting=H1_source_vs_external n=30 outer_iter=7/10 inner_iter=300/500
[2026-05-27 09:44:42] progress label=6 setting=H1_source_vs_external n=30 outer_iter=7/10 inner_iter=350/500
[2026-05-27 09:44:42] progress label=6 setting=H1_source_vs_external n=30 outer_iter=7/10 inner_iter=400/500
[2026-05-27 09:44:43] progress label=6 setting=H1_source_vs_external n=30 outer_iter=7/10 inner_iter=450/500
[2026-05-27 09:44:44] progress label=6 setting=H1_source_vs_external n=30 outer_iter=7/10 inner_iter=500/500
[2026-05-27 09:44:45] finished label=6 setting=H1_source_vs_external n=30 outer_iter=7/10 inner_repetitions=500 in 6.85s
[2026-05-27 09:44:45] progress label=6 setting=H1_source_vs_external n=30 outer_iter=8/10 inner_iter=1/500
[2026-05-27 09:44:45] progress label=6 setting=H1_source_vs_external n=30 outer_iter=8/10 inner_iter=50/500
[2026-05-27 09:44:46] progress label=6 setting=H1_source_vs_external n=30 outer_iter=8/10 inner_iter=100/500
[2026-05-27 09:44:46] progress label=6 setting=H1_source_vs_external n=30 outer_iter=8/10 inner_iter=150/500
[2026-05-27 09:44:47] progress label=6 setting=H1_source_vs_external n=30 outer_iter=8/10 inner_iter=200/500
[2026-05-27 09:44:48] progress label=6 setting=H1_source_vs_external n=30 outer_iter=8/10 inner_iter=250/500
[2026-05-27 09:44:48] progress label=6 setting=H1_source_vs_external n=30 outer_iter=8/10 inner_iter=300/500
[2026-05-27 09:44:49] progress label=6 setting=H1_source_vs_external n=30 outer_iter=8/10 inner_iter=350/500
[2026-05-27 09:44:49] progress label=6 setting=H1_source_vs_external n=30 outer_iter=8/10 inner_iter=400/500
[2026-05-27 09:44:50] progress label=6 setting=H1_source_vs_external n=30 outer_iter=8/10 inner_iter=450/500
[2026-05-27 09:44:50] progress label=6 setting=H1_source_vs_external n=30 outer_iter=8/10 inner_iter=500/500
[2026-05-27 09:44:51] finished label=6 setting=H1_source_vs_external n=30 outer_iter=8/10 inner_repetitions=500 in 6.79s
[2026-05-27 09:44:51] progress label=6 setting=H1_source_vs_external n=30 outer_iter=9/10 inner_iter=1/500
[2026-05-27 09:44:52] progress label=6 setting=H1_source_vs_external n=30 outer_iter=9/10 inner_iter=50/500
[2026-05-27 09:44:53] progress label=6 setting=H1_source_vs_external n=30 outer_iter=9/10 inner_iter=100/500
[2026-05-27 09:44:53] progress label=6 setting=H1_source_vs_external n=30 outer_iter=9/10 inner_iter=150/500
[2026-05-27 09:44:54] progress label=6 setting=H1_source_vs_external n=30 outer_iter=9/10 inner_iter=200/500
[2026-05-27 09:44:54] progress label=6 setting=H1_source_vs_external n=30 outer_iter=9/10 inner_iter=250/500
[2026-05-27 09:44:55] progress label=6 setting=H1_source_vs_external n=30 outer_iter=9/10 inner_iter=300/500
[2026-05-27 09:44:55] progress label=6 setting=H1_source_vs_external n=30 outer_iter=9/10 inner_iter=350/500
[2026-05-27 09:44:56] progress label=6 setting=H1_source_vs_external n=30 outer_iter=9/10 inner_iter=400/500
[2026-05-27 09:44:57] progress label=6 setting=H1_source_vs_external n=30 outer_iter=9/10 inner_iter=450/500
[2026-05-27 09:44:57] progress label=6 setting=H1_source_vs_external n=30 outer_iter=9/10 inner_iter=500/500
[2026-05-27 09:44:58] finished label=6 setting=H1_source_vs_external n=30 outer_iter=9/10 inner_repetitions=500 in 6.80s
[2026-05-27 09:44:58] progress label=6 setting=H1_source_vs_external n=30 outer_iter=10/10 inner_iter=1/500
[2026-05-27 09:44:59] progress label=6 setting=H1_source_vs_external n=30 outer_iter=10/10 inner_iter=50/500
